type,angular_direction_error_deg
translation,99.04185821242211
translation,46.75348076317937
translation,33.69989599426751
translation,59.35399128192177
translation,96.761586256626
translation,27.666899781671347
translation,50.55568263032402
translation,66.80282492780393
translation,48.38278114626315
translation,43.87051617032883
translation,38.658678918122824
translation,45.43615541473353
translation,28.64722224803598
translation,19.626485314519147
translation,78.91669778762113
translation,8.59484384306563
translation,23.786031923842835
translation,6.092006247369544
translation,148.21995581306263
translation,16.175070317558927
translation,14.22118348219806
translation,17.58166915441314
translation,71.36941943111094
translation,38.950709664204304
translation,25.230600150358775
translation,37.36105766092702
translation,17.352748937381776
translation,51.52571395076545
translation,70.48248023261888
translation,8.55796909276495
translation,13.457105347128728
translation,23.500628639849413
translation,4.729970487639597
translation,9.97053562460936
translation,15.793002607661782
translation,45.92651377454183
translation,29.8653795465725
translation,33.037741293552436
translation,18.18775544876788
translation,9.865225129128916
translation,11.592165117647303
translation,6.887047590784642
translation,20.437512904698128
translation,33.4426254423849
translation,4.428836770068164
translation,8.161816042497765
translation,10.75548623703889
translation,5.479695800363439
translation,9.494931811361079
translation,8.046387467759217
translation,8.841620118066134
translation,4.704487197094039
translation,5.4803897430619175
translation,11.44406341401729
translation,27.44639168593187
translation,9.50281278810833
translation,13.228314501726532
translation,5.443139547244331
translation,23.099241856494732
translation,17.622347019447865
translation,71.85399054938406
translation,27.542996170360475
translation,9.481809033344401
translation,24.46360231974343
translation,8.21700081546279
translation,13.785329036668376
translation,13.392613322137137
translation,13.348056090867818
translation,11.61608028720091
translation,3.3375921795785892
translation,7.221053030925848
translation,20.243487573942748
translation,27.12526764230994
translation,0.12551252809598454
translation,14.566241298276374
translation,22.011739212383716
translation,15.171279984604409
translation,21.579950305131963
translation,15.75193112261888
translation,46.29185810911164
translation,21.494586264879327
translation,36.054255082482086
translation,5.0877807499612855
translation,66.63257601048757
translation,16.40506712763566
translation,42.42977851122738
translation,7.768268239051167
translation,24.06923689429793
translation,37.2452977740753
translation,8.079524585591747
translation,7.981625064358745
translation,5.809120122344743
translation,58.04308974721654
translation,17.00952522443641
translation,94.37832692999318
translation,42.91250389438529
translation,34.33408552234503
translation,47.93309036495242
translation,14.883789797035488
translation,19.37180830775875
translation,5.353177565470599
translation,7.1205239106839455
translation,7.3183232324866285
translation,8.101933574388992
translation,7.695298785494885
translation,9.842374196098199
translation,7.447010911113475
translation,23.082378755210037
translation,8.420625335665962
translation,25.931650890986194
translation,16.237794931818662
translation,19.768095413364865
translation,4.029908634465152
translation,23.15856817349218
translation,70.0092448472819
translation,15.90022579869777
translation,25.47401174822807
translation,55.9122805634623
translation,12.138667004452994
translation,20.381464877052323
translation,23.909828493726575
translation,17.19337390287468
translation,15.701150798665239
translation,37.46969883783027
translation,5.456229829881435
translation,2.7336198123726057
translation,19.399071515233512
translation,17.972585368741264
translation,3.034261159164931
translation,18.696379497385415
translation,11.581586798059853
translation,8.832025941406565
translation,20.310880271113263
translation,24.287511187423927
translation,45.602307660314935
translation,22.39798142395701
translation,39.20941941041404
translation,115.19792817015205
translation,52.44375150439803
translation,135.00426222724693
translation,162.21702416621204
translation,155.52544327848983
translation,154.26410402495063
translation,161.41188207583673
translation,21.742655299258487
translation,110.51776872050645
translation,156.18694982549843
translation,150.18352013406187
translation,57.88718098762796
translation,11.905090670697428
translation,4.028160122494881
translation,18.624971342180643
translation,47.23727850705125
translation,19.379794092734123
translation,6.093130206564443
translation,93.44050589600364
translation,17.861202771104082
translation,43.1054821903756
translation,12.864518828526679
translation,29.848954117777065
translation,21.91652378949648
translation,25.34683553881085
translation,38.909506965258835
translation,20.226502110682954
translation,12.451937128505662
translation,16.41065412358862
translation,10.699040770410821
translation,10.178394753182241
translation,12.892233218796074
translation,11.627441447023386
translation,7.091289361257556
translation,56.549518485853554
translation,16.285394733682953
translation,3.9892496288455566
translation,6.862111951512663
translation,1.3463212491644476
translation,10.761509887463998
translation,25.76242321342317
translation,24.83696566584927
translation,8.862324339572886
translation,33.616144935446606
translation,32.30614935969532
translation,6.500732055197853
translation,25.450967400094438
translation,9.014916275649844
translation,12.84628953663723
translation,6.546607368481905
translation,20.11821938239882
translation,23.217368816842185
translation,12.071914409924085
translation,18.44997018177067
translation,10.202547923956804
translation,13.068615464866319
translation,4.7051244561299255
translation,2.758206605766298
translation,4.98840677281885
translation,13.383145732316155
translation,13.199375509810698
translation,3.9486733489489314
translation,8.991687652546121
translation,8.522557817652384
translation,3.0924460106790903
translation,8.721159264270048
translation,4.576310758891987
translation,31.566123245411646
translation,5.768463509229501
translation,2.711993970546545
translation,69.97061653309814
translation,20.440421558571348
translation,3.013754109546603
translation,132.15186446789573
