time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786135711.336356,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.3853674,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.433448,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.4811656,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.5291636,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.5772252,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.6252406,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.6891346,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.7371597,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.7847362,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.8331413,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.8806992,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.9286945,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135711.9767694,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.0239732,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.088325,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.1366057,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.1836376,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.23158,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.2797296,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.328164,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.3758004,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.4401095,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.4878366,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.535577,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.5838084,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
1786135712.631253,40.48363789834582,-87.38643755731403,0.0,0.0,0.0,-0.23205061746254602,0.9727037117926769,odom,base_link
