type,angular_direction_error_deg
translation,24.697929859218302
translation,17.27111985698549
translation,7.955319658958624
translation,16.2072270556124
translation,32.45468511870476
translation,29.71015535234431
translation,33.69383610785786
translation,17.01134662401712
translation,27.484511501845695
translation,14.7049867054714
translation,37.65007950696676
translation,13.599303919009557
translation,46.31144193551222
translation,32.31316459115028
translation,37.09074443842521
translation,26.930126320723776
translation,17.936164053493133
translation,21.58179488590882
translation,11.764842432522336
translation,19.604191969577364
translation,31.19535006415972
translation,10.31521215910828
translation,33.04469909620338
translation,2.0699973254271673
translation,11.793692945372877
translation,24.21048746683886
translation,5.073607820233675
translation,9.861343570270082
translation,7.0737315265047345
translation,4.0586132705618
translation,36.87859863489907
translation,19.242332672494715
translation,6.5275790638223
translation,43.12480952367491
translation,27.307234004431844
translation,7.249662380636774
translation,40.994837013481956
translation,5.802884742076883
translation,32.77519879436691
translation,10.417771362135667
translation,20.087949990712183
translation,23.174125146538394
translation,27.107989119040475
translation,18.30226574748195
translation,17.00300027099037
translation,23.639765213355208
translation,21.880810653882317
translation,13.405892671580547
translation,68.2817939849381
translation,31.729270740202324
translation,14.661710985331906
translation,3.118996606048194
translation,90.50835143860738
translation,27.931788620755892
translation,8.532198844855575
translation,14.304129668817634
translation,109.56833013023305
translation,19.819386986339588
translation,31.449903282048354
translation,3.352455391694229
translation,46.550316898505315
translation,12.481049516746118
translation,29.36864937126221
translation,1.4226209285960112
translation,12.92256127929167
translation,25.997545918180293
translation,22.847796683030573
translation,3.0956203091771277
translation,33.02502048128172
translation,48.41602537658955
translation,15.903946162579846
translation,2.3395617602355285
translation,36.91844936026316
translation,53.982750777233534
translation,17.21235102546996
translation,2.6459389085972216
translation,38.46592603296765
translation,50.399065628707035
translation,7.9623351258923485
translation,7.143245309002573
translation,57.94109319838442
translation,43.42105110514901
translation,17.604983504040337
translation,3.680922515868756
translation,63.90706983201633
translation,8.324634772951132
translation,27.951916535980022
translation,1.280557249331201
translation,84.6650458620904
translation,38.590090007526
translation,6.621729242578295
translation,9.299795182308548
translation,72.82491676769273
translation,56.19785644373567
translation,7.8272774973220125
translation,9.293544815652076
translation,41.088167022378755
translation,63.641282709050486
translation,18.11873914302398
translation,7.06006758126431
translation,44.62851607167326
translation,65.19427161194976
translation,26.505142312274245
translation,8.209742941897131
translation,60.42389101469521
translation,64.77939755165481
translation,34.82487567461503
translation,4.855493913766594
translation,69.11439335098015
translation,62.81597300629508
translation,35.16026039793587
translation,5.458557599806718
translation,83.65682321012734
translation,59.137139989605096
translation,23.907884829985292
translation,10.183149808161064
translation,84.39649885162521
translation,58.95520661556646
translation,6.138743078741164
translation,6.106362768163291
translation,74.4799907170866
translation,40.93045293138957
translation,10.142971869908113
translation,5.161829838494189
translation,92.19885227706426
translation,39.41894184001882
translation,34.50184760672867
translation,3.7287257670226173
translation,85.03264208568368
translation,28.346875866769036
translation,47.92224348272191
translation,7.4732208607350215
translation,84.19099484149963
translation,26.77247281084921
translation,54.92248036237935
translation,12.01680796189616
translation,58.35174124345258
translation,27.933765789947874
translation,53.753162188305865
translation,4.053958708673893
translation,26.41377959683814
translation,6.428732467613742
translation,42.15390449341678
translation,9.090821027509362
translation,7.484775771063589
translation,5.8377675995419125
translation,9.283808299829616
translation,2.6580789845007122
translation,42.49476623747577
translation,34.70295954312767
translation,24.377428753511495
translation,13.020741047965576
translation,83.71592457519083
translation,42.728940829193014
translation,28.096077733484947
translation,16.97043560558368
translation,57.207389446139864
translation,36.264858681056246
translation,12.262928655524862
translation,101.18932595284461
translation,40.44285797485137
translation,3.160717556219554
translation,83.18436639132125
translation,39.43900137039195
translation,13.31665600638933
