environment,scan_index,source,start_ns,end_ns,score,position_radius_m,path_length_m,yaw_span_rad,linear_speed_p95_mps,angular_speed_p95_radps,median_x_m,median_y_m,median_z_m,total_messages,cloud_messages
HcMR_lab,1,HcMR_lab,1786133703491649536,1786133733491649536,3.0811365620349718,1.1901829237567612,2.2536118729322663,0.2173131760377907,0.32057067893773394,0.08098627678426977,8.212091974804657,-0.8157393362179544,0.0,7603,230
HcMR_lab,2,HcMR_lab,1786133749491649536,1786133779491649536,3.0824151628625276,0.865623363227411,1.3726836472113737,0.8908490446269665,0.2833844801809557,0.21596340475805237,11.810088423995747,-0.19568852934850445,0.0,7667,231
HcMR_lab,3,HcMR_lab,1786133625491649536,1786133655491649536,3.7022626125336133,1.5630700073776689,1.928873775168345,0.33879259121419464,0.35262774683150744,0.13497712797378275,0.3553701710194019,0.0,0.0,7761,233
ISR_5th_floor,1,ISR_5th_floor_run_1,1786134757994425600,1786134787994425600,0.0,0.0,0.0,0.0,0.0,0.0,1.8624407721446345,-1.0702030378810359,0.0,7548,231
ISR_5th_floor,2,ISR_5th_floor_run_2,1786135711336355840,1786135741336355840,0.0,0.0,0.0,0.0,0.0,0.0,40.48363789834582,-87.38643755731403,0.0,7540,230
ISR_5th_floor,3,ISR_5th_floor_run_1,1786135288994425600,1786135318994425600,3.487889092494852,1.4915056631633776,2.7585106922591436,0.23081088883516887,0.339804919673998,0.05399085118951326,27.89273019058504,-95.7289246994887,0.0,7677,231
