time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786133628.6409063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.704912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.7530518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.8007238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.848344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.8964188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.9443383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133628.9925225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.0404882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.1043353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.1529508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.1997685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.248093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.295771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.3437262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.3917475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.440031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.5038757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.5516229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.6000998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.6475165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.6955433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.7436311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.791627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.8555167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.9033961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.9513426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133629.9991922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.0472977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.0952642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.1429572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.1901042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.254904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.3025293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.350668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.3983607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.446392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.4947221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.542374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.5907352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.6542323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.7021759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.7500646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.798278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.846293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.8940568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.9418404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133630.9898686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.0535932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.101687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.1500385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.1963904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.244702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.2934413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.3414664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.4054143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.4533358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.5013473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.5488548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.5967085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.6451423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.6931098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.7406003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.804895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.8519852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.9007604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.9479353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133631.9964933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.0442588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.0920072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.1397288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.2041798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.2521396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.3000026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.3478675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.3951561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.4437432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.49143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.539703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.6036303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.6508775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.699422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.7471309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.7956805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.8431687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.8912058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133632.9544866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.0030591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.0507965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.0989583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.1469572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.1940458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.2426558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.2895668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.3545682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.4022593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.4501355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.498503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.546063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.5942779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.6422532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
