time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786134718.9944255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.0425131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.0907662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.1547945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.2022498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.25034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.2984679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.3464792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.394596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.4428601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.5069685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.554541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.602275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.649722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.698505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.746627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.794121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.8421786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.9059508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134719.9540606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.0020866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.0497787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.0973127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.1454792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.193267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.2410247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.3055532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.3532438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.401243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.4493735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.4974408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.545333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.5933743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.6409237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.7053037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.7528079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.8009949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.8487194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.8966362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.94458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134720.9923568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.0563412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.1043558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.1521509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.1996665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.2481623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.2963364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.3440895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.3918993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.4556806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.5039234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.551751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.600171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.6474934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786134721.6955729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
